priority,case_id,review_status,recap_with_empty_expected,wave,labels,objective,word_count,expected_task_count,transcript_path,expected_output_path,reviewer,review_notes
1,W1-SHORT-C1-N0-IT-FPC-DM-014,pending,,1,first_person_commitment;day_month_deadline;mild_noise,"Cam kết ngôi thứ nhất, deadline ngày/tháng thiếu năm, hội thoại có filler nhẹ.",500,4,data/validation/W1-SHORT-C1-N0-IT-FPC-DM-014/transcript.txt,data/validation/W1-SHORT-C1-N0-IT-FPC-DM-014/expected_output.json,,
1,W1-SHORT-C1-N0-OPS-FPC-NDL-008,pending,,1,first_person_commitment;no_deadline;mild_noise,Người nói tự nhận task nhưng chưa chốt deadline.,440,2,data/validation/W1-SHORT-C1-N0-OPS-FPC-NDL-008/transcript.txt,data/validation/W1-SHORT-C1-N0-OPS-FPC-NDL-008/expected_output.json,,
1,W1-SHORT-C1-N0-OPS-FPC-NDL-016,pending,,1,first_person_commitment;no_deadline;mild_noise,Người nói tự nhận task nhưng chưa chốt deadline.,687,2,data/validation/W1-SHORT-C1-N0-OPS-FPC-NDL-016/transcript.txt,data/validation/W1-SHORT-C1-N0-OPS-FPC-NDL-016/expected_output.json,,
1,W1-SHORT-C1-N0-OPS-FPC-NDL-NEG-004,pending,,1,task_without_deadline;negative_context;clean_transcript,Có task rõ owner nhưng không có deadline; thêm suggestion chưa chốt.,681,4,data/validation/W1-SHORT-C1-N0-OPS-FPC-NDL-NEG-004/transcript.txt,data/validation/W1-SHORT-C1-N0-OPS-FPC-NDL-NEG-004/expected_output.json,,
1,W1-SHORT-C1-N0-OPS-FPC-NDL-NEG-012,pending,,1,task_without_deadline;negative_context;clean_transcript,Có task rõ owner nhưng không có deadline; thêm suggestion chưa chốt.,476,2,data/validation/W1-SHORT-C1-N0-OPS-FPC-NDL-NEG-012/transcript.txt,data/validation/W1-SHORT-C1-N0-OPS-FPC-NDL-NEG-012/expected_output.json,,
1,W1-SHORT-C1-N0-OPS-FPC-NDL-NEG-020,pending,,1,task_without_deadline;negative_context;clean_transcript,Có task rõ owner nhưng không có deadline; thêm suggestion chưa chốt.,635,2,data/validation/W1-SHORT-C1-N0-OPS-FPC-NDL-NEG-020/transcript.txt,data/validation/W1-SHORT-C1-N0-OPS-FPC-NDL-NEG-020/expected_output.json,,
1,W1-SHORT-C2-N1-PROD-NEG-QUNC-007,pending,,1,question_unconfirmed;negative_only;clean_transcript,Có câu hỏi về khả năng làm việc nhưng không ai nhận; thêm một task khác rõ ràng để parser vẫn có positive case.,552,3,data/validation/W1-SHORT-C2-N1-PROD-NEG-QUNC-007/transcript.txt,data/validation/W1-SHORT-C2-N1-PROD-NEG-QUNC-007/expected_output.json,,
1,W1-SHORT-C2-N1-PROD-NEG-QUNC-015,pending,,1,question_unconfirmed;negative_only;clean_transcript,Có câu hỏi về khả năng làm việc nhưng không ai nhận; thêm một task khác rõ ràng để parser vẫn có positive case.,549,2,data/validation/W1-SHORT-C2-N1-PROD-NEG-QUNC-015/transcript.txt,data/validation/W1-SHORT-C2-N1-PROD-NEG-QUNC-015/expected_output.json,,
1,W1-SHORT-C2-N1-PROD-QACC-RDAY-003,pending,,1,question_then_acceptance;relative_day_deadline;mild_noise,Lead hỏi một người có nhận việc không; chỉ sau câu đồng ý mới hình thành task; deadline là ngày mai hoặc ngày kia.,554,2,data/validation/W1-SHORT-C2-N1-PROD-QACC-RDAY-003/transcript.txt,data/validation/W1-SHORT-C2-N1-PROD-QACC-RDAY-003/expected_output.json,,
1,W1-SHORT-C2-N1-PROD-QACC-RDAY-011,pending,,1,question_then_acceptance;relative_day_deadline;mild_noise,Lead hỏi một người có nhận việc không; chỉ sau câu đồng ý mới hình thành task; deadline là ngày mai hoặc ngày kia.,453,2,data/validation/W1-SHORT-C2-N1-PROD-QACC-RDAY-011/transcript.txt,data/validation/W1-SHORT-C2-N1-PROD-QACC-RDAY-011/expected_output.json,,
1,W1-SHORT-C2-N1-PROD-QACC-RDAY-019,pending,,1,question_then_acceptance;relative_day_deadline;mild_noise,Lead hỏi một người có nhận việc không; chỉ sau câu đồng ý mới hình thành task; deadline là ngày mai hoặc ngày kia.,551,2,data/validation/W1-SHORT-C2-N1-PROD-QACC-RDAY-019/transcript.txt,data/validation/W1-SHORT-C2-N1-PROD-QACC-RDAY-019/expected_output.json,,
1,W1-SHORT-C2-N1-SW-DASG-WNEXT-NEG-005,pending,,1,direct_assignment;weekday_next;negative_context,Giao việc trực tiếp với mốc một thứ trong tuần sau; có thông tin tham khảo không tạo task.,556,2,data/validation/W1-SHORT-C2-N1-SW-DASG-WNEXT-NEG-005/transcript.txt,data/validation/W1-SHORT-C2-N1-SW-DASG-WNEXT-NEG-005/expected_output.json,,
1,W1-SHORT-C2-N1-SW-DASG-WNEXT-NEG-013,pending,,1,direct_assignment;weekday_next;negative_context,Giao việc trực tiếp với mốc một thứ trong tuần sau; có thông tin tham khảo không tạo task.,538,1,data/validation/W1-SHORT-C2-N1-SW-DASG-WNEXT-NEG-013/transcript.txt,data/validation/W1-SHORT-C2-N1-SW-DASG-WNEXT-NEG-013/expected_output.json,,
1,W1-SHORT-C2-N1-SW-FPC-WDAY-NEG-001,pending,,1,first_person_commitment;weekday_deadline;negative_context,Một thành viên chủ động nhận một deliverable và deadline là một thứ trong tuần; có thêm thảo luận không tạo task.,664,1,data/validation/W1-SHORT-C2-N1-SW-FPC-WDAY-NEG-001/transcript.txt,data/validation/W1-SHORT-C2-N1-SW-FPC-WDAY-NEG-001/expected_output.json,,
1,W1-SHORT-C2-N1-SW-FPC-WDAY-NEG-009,pending,,1,first_person_commitment;weekday_deadline;negative_context,Một thành viên chủ động nhận một deliverable và deadline là một thứ trong tuần; có thêm thảo luận không tạo task.,505,3,data/validation/W1-SHORT-C2-N1-SW-FPC-WDAY-NEG-009/transcript.txt,data/validation/W1-SHORT-C2-N1-SW-FPC-WDAY-NEG-009/expected_output.json,,
1,W1-SHORT-C2-N1-SW-FPC-WDAY-NEG-017,pending,,1,first_person_commitment;weekday_deadline;negative_context,Một thành viên chủ động nhận một deliverable và deadline là một thứ trong tuần; có thêm thảo luận không tạo task.,632,2,data/validation/W1-SHORT-C2-N1-SW-FPC-WDAY-NEG-017/transcript.txt,data/validation/W1-SHORT-C2-N1-SW-FPC-WDAY-NEG-017/expected_output.json,,
1,W2-SHORT-C2-N0-IT-BRST-006,pending,,2,brainstorm_only;no_active_task,"Nhiều ý tưởng hành động được bàn nhưng không có câu nhận việc, giao việc hay quyết định cuối.",892,0,data/validation/W2-SHORT-C2-N0-IT-BRST-006/transcript.txt,data/validation/W2-SHORT-C2-N0-IT-BRST-006/expected_output.json,,
1,W2-SHORT-C2-N0-IT-DREP-030,pending,,2,deadline_replacement;deadline_in_separate_sentence,"Task có deadline ban đầu, sau một số lượt được sửa sang deadline mới; deadline cũ không còn hiệu lực.",590,2,data/validation/W2-SHORT-C2-N0-IT-DREP-030/transcript.txt,data/validation/W2-SHORT-C2-N0-IT-DREP-030/expected_output.json,,
1,W2-SHORT-C2-N0-IT-DUPR-018,pending,,2,task_mentioned_across_turns;recap_duplicate_risk,"Một task được nhắc lại ở nhiều chỗ, bao gồm recap, nhưng không tạo action item mới.",582,1,data/validation/W2-SHORT-C2-N0-IT-DUPR-018/transcript.txt,data/validation/W2-SHORT-C2-N0-IT-DUPR-018/expected_output.json,,
1,W2-SHORT-C2-N0-OPS-BRST-024,pending,,2,brainstorm_only;no_active_task,"Nhiều ý tưởng hành động được bàn nhưng không có câu nhận việc, giao việc hay quyết định cuối.",980,0,data/validation/W2-SHORT-C2-N0-OPS-BRST-024/transcript.txt,data/validation/W2-SHORT-C2-N0-OPS-BRST-024/expected_output.json,,
1,W2-SHORT-C2-N0-OPS-DREP-012,pending,,2,deadline_replacement;deadline_in_separate_sentence,"Task có deadline ban đầu, sau một số lượt được sửa sang deadline mới; deadline cũ không còn hiệu lực.",622,1,data/validation/W2-SHORT-C2-N0-OPS-DREP-012/transcript.txt,data/validation/W2-SHORT-C2-N0-OPS-DREP-012/expected_output.json,,
1,W2-SHORT-C2-N1-IT-NOOWN-022,pending,,2,task_without_owner;unresolved_owner,Một action được chốt là cần làm nhưng cuộc họp không chốt ai phụ trách.,827,4,data/validation/W2-SHORT-C2-N1-IT-NOOWN-022/transcript.txt,data/validation/W2-SHORT-C2-N1-IT-NOOWN-022/expected_output.json,,
1,W2-SHORT-C2-N1-IT-REJT-010,pending,,2,task_rejection;rejected_without_replacement,Một người được hỏi/giao việc nhưng từ chối; không có người nhận thay.,667,0,data/validation/W2-SHORT-C2-N1-IT-REJT-010/transcript.txt,data/validation/W2-SHORT-C2-N1-IT-REJT-010/expected_output.json,,
1,W2-SHORT-C2-N1-OPS-NOOWN-004,pending,,2,task_without_owner;unresolved_owner,Một action được chốt là cần làm nhưng cuộc họp không chốt ai phụ trách.,547,3,data/validation/W2-SHORT-C2-N1-OPS-NOOWN-004/transcript.txt,data/validation/W2-SHORT-C2-N1-OPS-NOOWN-004/expected_output.json,,
1,W2-SHORT-C2-N1-OPS-REJT-028,pending,,2,task_rejection;rejected_without_replacement,Một người được hỏi/giao việc nhưng từ chối; không có người nhận thay.,707,2,data/validation/W2-SHORT-C2-N1-OPS-REJT-028/transcript.txt,data/validation/W2-SHORT-C2-N1-OPS-REJT-028/expected_output.json,,
1,W2-SHORT-C2-N1-OPS-SEPD-016,pending,,2,deadline_in_separate_sentence;task_mentioned_across_turns,"Action, assignee và deadline nằm ở các lượt khác nhau nhưng liên kết rõ.",798,3,data/validation/W2-SHORT-C2-N1-OPS-SEPD-016/transcript.txt,data/validation/W2-SHORT-C2-N1-OPS-SEPD-016/expected_output.json,,
1,W2-SHORT-C2-N2-IT-DASG-002,pending,,2,direct_assignment;negative_context,Lead giao trực tiếp action cho một người; có một đề xuất khác chưa được chốt.,697,3,data/validation/W2-SHORT-C2-N2-IT-DASG-002/transcript.txt,data/validation/W2-SHORT-C2-N2-IT-DASG-002/expected_output.json,,
1,W2-SHORT-C2-N2-IT-WORK-014,pending,,2,working_day_duration;deadline_in_separate_sentence,"Deadline là N ngày làm việc và phải giữ rõ cụm “ngày làm việc”, không đổi thành ngày lịch.",910,2,data/validation/W2-SHORT-C2-N2-IT-WORK-014/transcript.txt,data/validation/W2-SHORT-C2-N2-IT-WORK-014/expected_output.json,,
1,W2-SHORT-C2-N2-OPS-DASG-020,pending,,2,direct_assignment;negative_context,Lead giao trực tiếp action cho một người; có một đề xuất khác chưa được chốt.,692,2,data/validation/W2-SHORT-C2-N2-OPS-DASG-020/transcript.txt,data/validation/W2-SHORT-C2-N2-OPS-DASG-020/expected_output.json,,
1,W2-SHORT-C2-N2-OPS-PAST-008,pending,,2,past_completed_work;informational_statement,Speaker báo cáo các việc đã làm xong; không biến hành động quá khứ thành task mới.,860,0,data/validation/W2-SHORT-C2-N2-OPS-PAST-008/transcript.txt,data/validation/W2-SHORT-C2-N2-OPS-PAST-008/expected_output.json,,
1,W2-SHORT-C3-N0-PROD-CANC-027,pending,,2,task_cancellation;cancelled_not_output,"Task được tạo trước, sau đó bị hủy rõ ràng; không có câu mở lại task.",576,0,data/validation/W2-SHORT-C3-N0-PROD-CANC-027/transcript.txt,data/validation/W2-SHORT-C3-N0-PROD-CANC-027/expected_output.json,,
1,W2-SHORT-C3-N0-PROD-EVTD-015,pending,,2,event_dependent_deadline;dependency_commitment,"Deadline phụ thuộc một sự kiện chưa có ngày, ví dụ sau khi nhận spec; không tự đưa ngày cụ thể.",732,3,data/validation/W2-SHORT-C3-N0-PROD-EVTD-015/transcript.txt,data/validation/W2-SHORT-C3-N0-PROD-EVTD-015/expected_output.json,,
1,W2-SHORT-C3-N0-PROD-QACC-003,pending,,2,question_then_acceptance;task_confirmed_later,Câu hỏi giao việc chưa đủ tạo task; người được hỏi đồng ý ở lượt sau.,885,2,data/validation/W2-SHORT-C3-N0-PROD-QACC-003/transcript.txt,data/validation/W2-SHORT-C3-N0-PROD-QACC-003/expected_output.json,,
1,W2-SHORT-C3-N0-SW-CANC-009,pending,,2,task_cancellation;cancelled_not_output,"Task được tạo trước, sau đó bị hủy rõ ràng; không có câu mở lại task.",601,0,data/validation/W2-SHORT-C3-N0-SW-CANC-009/transcript.txt,data/validation/W2-SHORT-C3-N0-SW-CANC-009/expected_output.json,,
1,W2-SHORT-C3-N0-SW-QACC-021,pending,,2,question_then_acceptance;task_confirmed_later,Câu hỏi giao việc chưa đủ tạo task; người được hỏi đồng ý ở lượt sau.,634,1,data/validation/W2-SHORT-C3-N0-SW-QACC-021/transcript.txt,data/validation/W2-SHORT-C3-N0-SW-QACC-021/expected_output.json,,
1,W2-SHORT-C3-N1-PROD-FPC-019,pending,,2,first_person_commitment;negative_context,"Người nói tự nhận một công việc tương lai rõ ràng; có câu gần đó dùng “sẽ” nhưng chỉ là thông tin, không phải task.",829,4,data/validation/W2-SHORT-C3-N1-PROD-FPC-019/transcript.txt,data/validation/W2-SHORT-C3-N1-PROD-FPC-019/expected_output.json,,
1,W2-SHORT-C3-N1-PROD-SUGG-007,pending,,2,suggestion_not_committed;no_active_task,"Có suggestion hợp lý và tên người được nhắc, nhưng không có acceptance hoặc assignment cuối.",851,0,data/validation/W2-SHORT-C3-N1-PROD-SUGG-007/transcript.txt,data/validation/W2-SHORT-C3-N1-PROD-SUGG-007/expected_output.json,,
1,W2-SHORT-C3-N1-SW-FPC-001,pending,,2,first_person_commitment;negative_context,"Người nói tự nhận một công việc tương lai rõ ràng; có câu gần đó dùng “sẽ” nhưng chỉ là thông tin, không phải task.",691,1,data/validation/W2-SHORT-C3-N1-SW-FPC-001/transcript.txt,data/validation/W2-SHORT-C3-N1-SW-FPC-001/expected_output.json,,
1,W2-SHORT-C3-N1-SW-RWKD-013,pending,,2,weekday_current;before_day,"Task dùng cách nói deadline liên quan thứ trong tuần, có thể dùng “trước thứ ...”; không tính ngày ISO.",880,2,data/validation/W2-SHORT-C3-N1-SW-RWKD-013/transcript.txt,data/validation/W2-SHORT-C3-N1-SW-RWKD-013/expected_output.json,,
1,W2-SHORT-C3-N1-SW-SUGG-025,pending,,2,suggestion_not_committed;no_active_task,"Có suggestion hợp lý và tên người được nhắc, nhưng không có acceptance hoặc assignment cuối.",537,1,data/validation/W2-SHORT-C3-N1-SW-SUGG-025/transcript.txt,data/validation/W2-SHORT-C3-N1-SW-SUGG-025/expected_output.json,,
1,W2-SHORT-C3-N2-PROD-HOFF-011,pending,,2,owner_handoff;task_confirmed_later,"Task ban đầu thuộc owner A, sau đó được chuyển rõ sang owner B và B xác nhận.",623,2,data/validation/W2-SHORT-C3-N2-PROD-HOFF-011/transcript.txt,data/validation/W2-SHORT-C3-N2-PROD-HOFF-011/expected_output.json,,
1,W2-SHORT-C3-N2-PROD-NDL-023,pending,,2,task_without_deadline;first_person_commitment,Task và assignee rõ ràng nhưng không có bất kỳ deadline nào.,706,2,data/validation/W2-SHORT-C3-N2-PROD-NDL-023/transcript.txt,data/validation/W2-SHORT-C3-N2-PROD-NDL-023/expected_output.json,,
1,W2-SHORT-C3-N2-SW-HOFF-029,pending,,2,owner_handoff;task_confirmed_later,"Task ban đầu thuộc owner A, sau đó được chuyển rõ sang owner B và B xác nhận.",680,1,data/validation/W2-SHORT-C3-N2-SW-HOFF-029/transcript.txt,data/validation/W2-SHORT-C3-N2-SW-HOFF-029/expected_output.json,,
1,W2-SHORT-C3-N2-SW-NDL-005,pending,,2,task_without_deadline;first_person_commitment,Task và assignee rõ ràng nhưng không có bất kỳ deadline nào.,765,2,data/validation/W2-SHORT-C3-N2-SW-NDL-005/transcript.txt,data/validation/W2-SHORT-C3-N2-SW-NDL-005/expected_output.json,,
1,W2-SHORT-C3-N2-SW-RECF-017,pending,,2,repeated_confirmation;recap_duplicate_risk,Task được xác nhận nhiều lần nhưng vẫn chỉ là một deliverable.,707,1,data/validation/W2-SHORT-C3-N2-SW-RECF-017/transcript.txt,data/validation/W2-SHORT-C3-N2-SW-RECF-017/expected_output.json,,
2,W3-MED-C3-N1-IT-INT-002,pending,,3,feature_interaction;deadline_replacement;recap_duplicate_risk;unresolved_item;negative_context,"API integration, dữ liệu mẫu, quyền truy cập và rollout. Có handoff owner, một task bị hủy và một unresolved reviewer.",1600,4,data/validation/W3-MED-C3-N1-IT-INT-002/transcript.txt,data/validation/W3-MED-C3-N1-IT-INT-002/expected_output.json,,
2,W3-MED-C3-N1-IT-INT-006,pending,,3,feature_interaction;deadline_replacement;recap_duplicate_risk;unresolved_item;negative_context,"API integration, dữ liệu mẫu, quyền truy cập và rollout. Có handoff owner, một task bị hủy và một unresolved reviewer.",2933,2,data/validation/W3-MED-C3-N1-IT-INT-006/transcript.txt,data/validation/W3-MED-C3-N1-IT-INT-006/expected_output.json,,
2,W3-MED-C3-N1-IT-INT-010,pending,,3,feature_interaction;deadline_replacement;recap_duplicate_risk;unresolved_item;negative_context,"API integration, dữ liệu mẫu, quyền truy cập và rollout. Có handoff owner, một task bị hủy và một unresolved reviewer.",2701,6,data/validation/W3-MED-C3-N1-IT-INT-010/transcript.txt,data/validation/W3-MED-C3-N1-IT-INT-010/expected_output.json,,
2,W3-MED-C3-N1-IT-INT-014,pending,,3,feature_interaction;deadline_replacement;recap_duplicate_risk;unresolved_item;negative_context,"API integration, dữ liệu mẫu, quyền truy cập và rollout. Có handoff owner, một task bị hủy và một unresolved reviewer.",2168,6,data/validation/W3-MED-C3-N1-IT-INT-014/transcript.txt,data/validation/W3-MED-C3-N1-IT-INT-014/expected_output.json,,
2,W3-MED-C3-N1-IT-INT-018,pending,,3,feature_interaction;deadline_replacement;recap_duplicate_risk;unresolved_item;negative_context,"API integration, dữ liệu mẫu, quyền truy cập và rollout. Có handoff owner, một task bị hủy và một unresolved reviewer.",1332,5,data/validation/W3-MED-C3-N1-IT-INT-018/transcript.txt,data/validation/W3-MED-C3-N1-IT-INT-018/expected_output.json,,
2,W3-MED-C3-N1-OPS-INT-004,pending,,3,feature_interaction;deadline_replacement;recap_duplicate_risk;unresolved_item;negative_context,"Release preparation, bug triage, monitoring và documentation. Có assignment bị từ chối rồi chuyển người, recap và task không deadline.",1373,4,data/validation/W3-MED-C3-N1-OPS-INT-004/transcript.txt,data/validation/W3-MED-C3-N1-OPS-INT-004/expected_output.json,,
2,W3-MED-C3-N1-OPS-INT-008,pending,,3,feature_interaction;deadline_replacement;recap_duplicate_risk;unresolved_item;negative_context,"Release preparation, bug triage, monitoring và documentation. Có assignment bị từ chối rồi chuyển người, recap và task không deadline.",1495,4,data/validation/W3-MED-C3-N1-OPS-INT-008/transcript.txt,data/validation/W3-MED-C3-N1-OPS-INT-008/expected_output.json,,
2,W3-MED-C3-N1-OPS-INT-012,pending,,3,feature_interaction;deadline_replacement;recap_duplicate_risk;unresolved_item;negative_context,"Release preparation, bug triage, monitoring và documentation. Có assignment bị từ chối rồi chuyển người, recap và task không deadline.",1594,4,data/validation/W3-MED-C3-N1-OPS-INT-012/transcript.txt,data/validation/W3-MED-C3-N1-OPS-INT-012/expected_output.json,,
2,W3-MED-C3-N1-OPS-INT-016,pending,,3,feature_interaction;deadline_replacement;recap_duplicate_risk;unresolved_item;negative_context,"Release preparation, bug triage, monitoring và documentation. Có assignment bị từ chối rồi chuyển người, recap và task không deadline.",2060,3,data/validation/W3-MED-C3-N1-OPS-INT-016/transcript.txt,data/validation/W3-MED-C3-N1-OPS-INT-016/expected_output.json,,
2,W3-MED-C4-N2-PROD-INT-011,pending,,3,feature_interaction;deadline_replacement;recap_duplicate_risk;unresolved_item;negative_context,"Meeting summary flow, parser transcript, SP365 display và chi phí. Có distractor về ý tưởng phase sau, correction deadline và reference “phần đó”.",1978,4,data/validation/W3-MED-C4-N2-PROD-INT-011/transcript.txt,data/validation/W3-MED-C4-N2-PROD-INT-011/expected_output.json,,
2,W3-MED-C4-N2-PROD-INT-015,pending,,3,feature_interaction;deadline_replacement;recap_duplicate_risk;unresolved_item;negative_context,"Meeting summary flow, parser transcript, SP365 display và chi phí. Có distractor về ý tưởng phase sau, correction deadline và reference “phần đó”.",1347,5,data/validation/W3-MED-C4-N2-PROD-INT-015/transcript.txt,data/validation/W3-MED-C4-N2-PROD-INT-015/expected_output.json,,
2,W3-MED-C4-N2-PROD-INT-019,pending,,3,feature_interaction;deadline_replacement;recap_duplicate_risk;unresolved_item;negative_context,"Meeting summary flow, parser transcript, SP365 display và chi phí. Có distractor về ý tưởng phase sau, correction deadline và reference “phần đó”.",1968,3,data/validation/W3-MED-C4-N2-PROD-INT-019/transcript.txt,data/validation/W3-MED-C4-N2-PROD-INT-019/expected_output.json,,
2,W3-MED-C4-N2-SW-INT-001,pending,,3,feature_interaction;deadline_replacement;recap_duplicate_risk;unresolved_item;negative_context,"Môi trường test, lỗi đăng nhập, tài liệu triển khai và recap. Deadline của một task bị đổi; hai task cùng liên quan tài liệu nhưng khác deliverable.",1547,3,data/validation/W3-MED-C4-N2-SW-INT-001/transcript.txt,data/validation/W3-MED-C4-N2-SW-INT-001/expected_output.json,,
2,W3-MED-C4-N2-SW-INT-005,pending,,3,feature_interaction;deadline_replacement;recap_duplicate_risk;unresolved_item;negative_context,"Môi trường test, lỗi đăng nhập, tài liệu triển khai và recap. Deadline của một task bị đổi; hai task cùng liên quan tài liệu nhưng khác deliverable.",1733,3,data/validation/W3-MED-C4-N2-SW-INT-005/transcript.txt,data/validation/W3-MED-C4-N2-SW-INT-005/expected_output.json,,
2,W3-MED-C4-N2-SW-INT-009,pending,,3,feature_interaction;deadline_replacement;recap_duplicate_risk;unresolved_item;negative_context,"Môi trường test, lỗi đăng nhập, tài liệu triển khai và recap. Deadline của một task bị đổi; hai task cùng liên quan tài liệu nhưng khác deliverable.",1547,1,data/validation/W3-MED-C4-N2-SW-INT-009/transcript.txt,data/validation/W3-MED-C4-N2-SW-INT-009/expected_output.json,,
2,W3-MED-C4-N2-SW-INT-013,pending,,3,feature_interaction;deadline_replacement;recap_duplicate_risk;unresolved_item;negative_context,"Môi trường test, lỗi đăng nhập, tài liệu triển khai và recap. Deadline của một task bị đổi; hai task cùng liên quan tài liệu nhưng khác deliverable.",1621,5,data/validation/W3-MED-C4-N2-SW-INT-013/transcript.txt,data/validation/W3-MED-C4-N2-SW-INT-013/expected_output.json,,
2,W3-MED-C4-N2-SW-INT-017,pending,,3,feature_interaction;deadline_replacement;recap_duplicate_risk;unresolved_item;negative_context,"Môi trường test, lỗi đăng nhập, tài liệu triển khai và recap. Deadline của một task bị đổi; hai task cùng liên quan tài liệu nhưng khác deliverable.",1768,2,data/validation/W3-MED-C4-N2-SW-INT-017/transcript.txt,data/validation/W3-MED-C4-N2-SW-INT-017/expected_output.json,,
